1,text,text,me,sick, , 
2,So either @XiberKernel got me sick! or I may have gotten food poisoning. It's gonna be a looooong night,So either @XiberKernel got me sick! or I may have gotten food poisoning, ,gotten,poisoning, 
2,So either @XiberKernel got me sick! or I may have gotten food poisoning. It's gonna be a looooong night, It's gonna be a looooong night,It,gon, , 
2,So either @XiberKernel got me sick! or I may have gotten food poisoning. It's gonna be a looooong night, It's gonna be a looooong night,It,night, , 
3,I got food poisoning í ½í²,I got food poisoning ,I,got,poisoning, 
4,@RogerVilchis pretty much i have food poisoning for the second day in a row.  Hahaha that is fucking awesome í ½í¸,@RogerVilchis pretty much i have food poisoning for the second day in a row,i,have,poisoning, 
4,@RogerVilchis pretty much i have food poisoning for the second day in a row.  Hahaha that is fucking awesome í ½í¸,  Hahaha that is fucking awesome ,that,fucking, , 
5,I think I have food poisoning. I've been throwing up like a sick grade schooler. All. Night.,I think I have food poisoning,I,think, , 
5,I think I have food poisoning. I've been throwing up like a sick grade schooler. All. Night.,I think I have food poisoning,I,have,poisoning, 
5,I think I have food poisoning. I've been throwing up like a sick grade schooler. All. Night., I've been throwing up like a sick grade schooler,I,throwing, , 
6,@maggiehendricks Honestly I'm not sure I've had a recognizable case of food poisoning before! so I'm all paranoid about still feeling gross.,@maggiehendricks Honestly I'm not sure I've had a recognizable case of food poisoning before! so I'm all paranoid about still feeling gross,Honestly,@maggiehendricks, , 
6,@maggiehendricks Honestly I'm not sure I've had a recognizable case of food poisoning before! so I'm all paranoid about still feeling gross.,@maggiehendricks Honestly I'm not sure I've had a recognizable case of food poisoning before! so I'm all paranoid about still feeling gross,I,sure, , 
6,@maggiehendricks Honestly I'm not sure I've had a recognizable case of food poisoning before! so I'm all paranoid about still feeling gross.,@maggiehendricks Honestly I'm not sure I've had a recognizable case of food poisoning before! so I'm all paranoid about still feeling gross,I,had,case,poisoning
6,@maggiehendricks Honestly I'm not sure I've had a recognizable case of food poisoning before! so I'm all paranoid about still feeling gross.,@maggiehendricks Honestly I'm not sure I've had a recognizable case of food poisoning before! so I'm all paranoid about still feeling gross,I,paranoid, , 
6,@maggiehendricks Honestly I'm not sure I've had a recognizable case of food poisoning before! so I'm all paranoid about still feeling gross.,@maggiehendricks Honestly I'm not sure I've had a recognizable case of food poisoning before! so I'm all paranoid about still feeling gross, ,feeling,gross, 
7,I got food poisoning last Saturday and my guts are still not happy.,I got food poisoning last Saturday and my guts are still not happy,I,got,poisoning, 
7,I got food poisoning last Saturday and my guts are still not happy.,I got food poisoning last Saturday and my guts are still not happy,guts,happy, , 
8,Should I go with pink eye or food poisoning if I call in sick today?,Should I go with pink eye or food poisoning if I call in sick today?,I,go, ,poisoning
8,Should I go with pink eye or food poisoning if I call in sick today?,Should I go with pink eye or food poisoning if I call in sick today?,I,call, , 
9,@Eroticagoddess4 if we can aim for Friday. Not sure if I have the flu or food poisoning but in lousy shape either way.,@Eroticagoddess4 if we can aim for Friday,we,aim, , 
9,@Eroticagoddess4 if we can aim for Friday. Not sure if I have the flu or food poisoning but in lousy shape either way., Not sure if I have the flu or food poisoning but in lousy shape either way,I,have,poisoning, 
10,My puke muscles are all sore after Thursday's food poisoning.,My puke muscles are all sore after Thursday's food poisoning,muscles,sore, ,poisoning
11,Why would I ever order from anywhere other than Taqueria El Ranchito? I've only gotten food poisoning from there once :),Why would I ever order from anywhere other than Taqueria El Ranchito? I've only gotten food poisoning from there once :),I,order, , 
11,Why would I ever order from anywhere other than Taqueria El Ranchito? I've only gotten food poisoning from there once :),Why would I ever order from anywhere other than Taqueria El Ranchito? I've only gotten food poisoning from there once :),I,gotten,poisoning, 
12,Sneak Peek! â¢ Monday night food poisoning attacked my body and I slept most of the night on theâ¦ https://t.co/vnreD2JuYW,Sneak Peek!  Monday night food poisoning attacked my body and I slept most of the night on the https://t,poisoning,attacked,body, 
12,Sneak Peek! â¢ Monday night food poisoning attacked my body and I slept most of the night on theâ¦ https://t.co/vnreD2JuYW,Sneak Peek!  Monday night food poisoning attacked my body and I slept most of the night on the https://t,I,slept,most, 
13,I think I got food poisoning í ½í¸·í ½í¸·,I think I got food poisoning ,I,think, , 
13,I think I got food poisoning í ½í¸·í ½í¸·,I think I got food poisoning ,I,got,poisoning, 
14,So this is either food poisoning or the flu.  Either way it seems appropriate for my birthday.,So this is either food poisoning or the flu,this,poisoning, , 
14,So this is either food poisoning or the flu.  Either way it seems appropriate for my birthday.,  Either way it seems appropriate for my birthday,it,seems, , 
15,I think Amina got food poisoning wtf,I think Amina got food poisoning wtf,I,think, , 
15,I think Amina got food poisoning wtf,I think Amina got food poisoning wtf,Amina,got,wtf, 
16,80% sure I have food poisoning and it is terrible.,80% sure i have food poisoning ,%,have,poisoning, 
17,@OriginalFandoms Well I found out I have gotten food poisoning. Yay me í ½í¸�?í ½í¸�? but I should be going back to school tomorrow.,@OriginalFandoms Well I found out I have gotten food poisoning,I,found, , 
17,@OriginalFandoms Well I found out I have gotten food poisoning. Yay me í ½í¸�?í ½í¸�? but I should be going back to school tomorrow.,@OriginalFandoms Well I found out I have gotten food poisoning,I,gotten,poisoning, 
17,@OriginalFandoms Well I found out I have gotten food poisoning. Yay me í ½í¸�?í ½í¸�? but I should be going back to school tomorrow., Yay me  but I should be going back to school tomorrow, ,Yay,me, 
17,@OriginalFandoms Well I found out I have gotten food poisoning. Yay me í ½í¸�?í ½í¸�? but I should be going back to school tomorrow., Yay me  but I should be going back to school tomorrow,I,going, , 
18,Let me find out I have food poisoning and IMA be mad asl.,let me find out i have food poisoning ,me,find,i, 
18,Let me find out I have food poisoning and IMA be mad asl.,let me find out i have food poisoning , ,have,poisoning, 
19,Nothing like having food poisoning come on mid show #monslyfe #barflyfe night 1 of growlers @ Lincolnâ¦ https://t.co/VGmjdZCZwP,Nothing like having food poisoning come on mid show #monslyfe #barflyfe night 1 of growlers @ Lincoln https://t,Nothing,#barflyfe, , 
19,Nothing like having food poisoning come on mid show #monslyfe #barflyfe night 1 of growlers @ Lincolnâ¦ https://t.co/VGmjdZCZwP,Nothing like having food poisoning come on mid show #monslyfe #barflyfe night 1 of growlers @ Lincoln https://t, ,come,poisoning, 
19,Nothing like having food poisoning come on mid show #monslyfe #barflyfe night 1 of growlers @ Lincolnâ¦ https://t.co/VGmjdZCZwP,Nothing like having food poisoning come on mid show #monslyfe #barflyfe night 1 of growlers @ Lincoln https://t, ,#barflyfe,night, 
21,One way to loose those last 7 pounds. Food poisoning. Good thing my guy was there to take care of me the whole day. #swoon #relationship,One way to loose those last 7 pounds, ,loose,pounds, 
21,One way to loose those last 7 pounds. Food poisoning. Good thing my guy was there to take care of me the whole day. #swoon #relationship, Good thing my guy was there to take care of me the whole day,guy,was, , 
