1,text,text
2,So either @XiberKernel got me sick! or I may have gotten food poisoning. It's gonna be a looooong night,So either @XiberKernel got me sick! or I may have gotten food poisoning
2,So either @XiberKernel got me sick! or I may have gotten food poisoning. It's gonna be a looooong night, It's gonna be a looooong night
3,I got food poisoning í ½í²,I got food poisoning 
4,@RogerVilchis pretty much i have food poisoning for the second day in a row.  Hahaha that is fucking awesome í ½í¸,@RogerVilchis pretty much i have food poisoning for the second day in a row
4,@RogerVilchis pretty much i have food poisoning for the second day in a row.  Hahaha that is fucking awesome í ½í¸,  Hahaha that is fucking awesome 
5,I think I have food poisoning. I've been throwing up like a sick grade schooler. All. Night.,I think I have food poisoning
5,I think I have food poisoning. I've been throwing up like a sick grade schooler. All. Night., I've been throwing up like a sick grade schooler
5,I think I have food poisoning. I've been throwing up like a sick grade schooler. All. Night., All
5,I think I have food poisoning. I've been throwing up like a sick grade schooler. All. Night., Night
6,@maggiehendricks Honestly I'm not sure I've had a recognizable case of food poisoning before! so I'm all paranoid about still feeling gross.,@maggiehendricks Honestly I'm not sure I've had a recognizable case of food poisoning before! so I'm all paranoid about still feeling gross
7,I got food poisoning last Saturday and my guts are still not happy.,I got food poisoning last Saturday and my guts are still not happy
8,Should I go with pink eye or food poisoning if I call in sick today?,Should I go with pink eye or food poisoning if I call in sick today?
9,@Eroticagoddess4 if we can aim for Friday. Not sure if I have the flu or food poisoning but in lousy shape either way.,@Eroticagoddess4 if we can aim for Friday
9,@Eroticagoddess4 if we can aim for Friday. Not sure if I have the flu or food poisoning but in lousy shape either way., Not sure if I have the flu or food poisoning but in lousy shape either way
10,My puke muscles are all sore after Thursday's food poisoning.,My puke muscles are all sore after Thursday's food poisoning
11,Why would I ever order from anywhere other than Taqueria El Ranchito? I've only gotten food poisoning from there once :),Why would I ever order from anywhere other than Taqueria El Ranchito? I've only gotten food poisoning from there once :)
12,Sneak Peek! â¢ Monday night food poisoning attacked my body and I slept most of the night on theâ¦ https://t.co/vnreD2JuYW,Sneak Peek!  Monday night food poisoning attacked my body and I slept most of the night on the https://t
12,Sneak Peek! â¢ Monday night food poisoning attacked my body and I slept most of the night on theâ¦ https://t.co/vnreD2JuYW,co/vnreD2JuYW
13,I think I got food poisoning í ½í¸·í ½í¸·,I think I got food poisoning 
14,So this is either food poisoning or the flu.  Either way it seems appropriate for my birthday.,So this is either food poisoning or the flu
14,So this is either food poisoning or the flu.  Either way it seems appropriate for my birthday.,  Either way it seems appropriate for my birthday
15,I think Amina got food poisoning wtf,I think Amina got food poisoning wtf
16,80% sure I have food poisoning and it is terrible.,80% sure I have food poisoning and it is terrible
17,@OriginalFandoms Well I found out I have gotten food poisoning. Yay me í ½í¸�?í ½í¸�? but I should be going back to school tomorrow.,@OriginalFandoms Well I found out I have gotten food poisoning
17,@OriginalFandoms Well I found out I have gotten food poisoning. Yay me í ½í¸�?í ½í¸�? but I should be going back to school tomorrow., Yay me  but I should be going back to school tomorrow
18,Let me find out I have food poisoning and IMA be mad asl.,Let me find out I have food poisoning and IMA be mad asl
19,Nothing like having food poisoning come on mid show #monslyfe #barflyfe night 1 of growlers @ Lincolnâ¦ https://t.co/VGmjdZCZwP,Nothing like having food poisoning come on mid show #monslyfe #barflyfe night 1 of growlers @ Lincoln https://t
19,Nothing like having food poisoning come on mid show #monslyfe #barflyfe night 1 of growlers @ Lincolnâ¦ https://t.co/VGmjdZCZwP,co/VGmjdZCZwP
20,food poisoning es no bueno í ½í¸,food poisoning es no bueno 
21,One way to loose those last 7 pounds. Food poisoning. Good thing my guy was there to take care of me the whole day. #swoon #relationship,One way to loose those last 7 pounds
21,One way to loose those last 7 pounds. Food poisoning. Good thing my guy was there to take care of me the whole day. #swoon #relationship, Food poisoning
21,One way to loose those last 7 pounds. Food poisoning. Good thing my guy was there to take care of me the whole day. #swoon #relationship, Good thing my guy was there to take care of me the whole day
21,One way to loose those last 7 pounds. Food poisoning. Good thing my guy was there to take care of me the whole day. #swoon #relationship, #swoon #relationship
22,There have been few times where I was scared that I was dying! but food poisoning is definitely the worst one.,There have been few times where I was scared that I was dying! but food poisoning is definitely the worst one
23,Have some kind of stomach bug or food poisoning í ½í¸ &amp;&amp; the #ChicagoBlizzard is happening outside â�?ï¸�?â�?ï¸�?í ¼í¼í ¼í¼,Have some kind of stomach bug or food poisoning  &amp;&amp; the #ChicagoBlizzard is happening outside 
24,I got food poisoning and I'm just....argh,I got food poisoning and I'm just
24,I got food poisoning and I'm just....argh,
24,I got food poisoning and I'm just....argh,
24,I got food poisoning and I'm just....argh,
24,I got food poisoning and I'm just....argh,argh
25,Getcho weak ass outta here @High_Im_Kels: I think I have food poisoning,Getcho weak ass outta here @High_Im_Kels: I think I have food poisoning
26,trying to figure out if this is food poisoning or the stomach flu .,trying to figure out if this is food poisoning or the stomach flu 
27,Ugh! food poisoning. Guess I'm not being productive today.,Ugh! food poisoning
27,Ugh! food poisoning. Guess I'm not being productive today., Guess I'm not being productive today
28,Food poisoning ain't nothing to play with... Fuck you panera pray for mike!!,Food poisoning ain't nothing to play with
28,Food poisoning ain't nothing to play with... Fuck you panera pray for mike!!,
28,Food poisoning ain't nothing to play with... Fuck you panera pray for mike!!,
28,Food poisoning ain't nothing to play with... Fuck you panera pray for mike!!, Fuck you panera pray for mike!!
29,My wife has food poisoning but we have no idea from where because we ate the exact same things this weekend. #sharingplates I'm invincible,My wife has food poisoning but we have no idea from where because we ate the exact same things this weekend
