1,text,text,me,sick, , ,0.0
2,So either @XiberKernel got me sick! or I may have gotten food poisoning. It's gonna be a looooong night,So either @XiberKernel got me sick! or I may have gotten food poisoning, ,gotten,poisoning, ,0.6
2,So either @XiberKernel got me sick! or I may have gotten food poisoning. It's gonna be a looooong night, It's gonna be a looooong night,It,gon, , ,0.0
2,So either @XiberKernel got me sick! or I may have gotten food poisoning. It's gonna be a looooong night, It's gonna be a looooong night,It,night, , ,0.0
3,I got food poisoning í ½í²,I got food poisoning ,I,got,poisoning, ,0.9
4,@RogerVilchis pretty much i have food poisoning for the second day in a row.  Hahaha that is fucking awesome í ½í¸,@RogerVilchis pretty much i have food poisoning for the second day in a row,i,have,poisoning, ,0.9
4,@RogerVilchis pretty much i have food poisoning for the second day in a row.  Hahaha that is fucking awesome í ½í¸,  Hahaha that is fucking awesome ,that,fucking, , ,0.0
5,I think I have food poisoning. I've been throwing up like a sick grade schooler. All. Night.,I think I have food poisoning,I,think, , ,100.0
5,I think I have food poisoning. I've been throwing up like a sick grade schooler. All. Night.,I think I have food poisoning,I,have,poisoning, ,0.9
5,I think I have food poisoning. I've been throwing up like a sick grade schooler. All. Night., I've been throwing up like a sick grade schooler,I,throwing, , ,0.0
6,@maggiehendricks Honestly I'm not sure I've had a recognizable case of food poisoning before! so I'm all paranoid about still feeling gross.,@maggiehendricks Honestly I'm not sure I've had a recognizable case of food poisoning before! so I'm all paranoid about still feeling gross,Honestly,@maggiehendricks, , ,0.0
6,@maggiehendricks Honestly I'm not sure I've had a recognizable case of food poisoning before! so I'm all paranoid about still feeling gross.,@maggiehendricks Honestly I'm not sure I've had a recognizable case of food poisoning before! so I'm all paranoid about still feeling gross,I,sure, , ,0.0
6,@maggiehendricks Honestly I'm not sure I've had a recognizable case of food poisoning before! so I'm all paranoid about still feeling gross.,@maggiehendricks Honestly I'm not sure I've had a recognizable case of food poisoning before! so I'm all paranoid about still feeling gross,I,had,case,poisoning,0.8
6,@maggiehendricks Honestly I'm not sure I've had a recognizable case of food poisoning before! so I'm all paranoid about still feeling gross.,@maggiehendricks Honestly I'm not sure I've had a recognizable case of food poisoning before! so I'm all paranoid about still feeling gross,I,paranoid, , ,0.0
6,@maggiehendricks Honestly I'm not sure I've had a recognizable case of food poisoning before! so I'm all paranoid about still feeling gross.,@maggiehendricks Honestly I'm not sure I've had a recognizable case of food poisoning before! so I'm all paranoid about still feeling gross, ,feeling,gross, ,0.0
7,I got food poisoning last Saturday and my guts are still not happy.,I got food poisoning last Saturday and my guts are still not happy,I,got,poisoning, ,0.9
7,I got food poisoning last Saturday and my guts are still not happy.,I got food poisoning last Saturday and my guts are still not happy,guts,happy, , ,0.0
8,Should I go with pink eye or food poisoning if I call in sick today?,Should I go with pink eye or food poisoning if I call in sick today?,I,go, ,poisoning,0.15
8,Should I go with pink eye or food poisoning if I call in sick today?,Should I go with pink eye or food poisoning if I call in sick today?,I,call, , ,0.0
9,@Eroticagoddess4 if we can aim for Friday. Not sure if I have the flu or food poisoning but in lousy shape either way.,@Eroticagoddess4 if we can aim for Friday,we,aim, , ,0.0
9,@Eroticagoddess4 if we can aim for Friday. Not sure if I have the flu or food poisoning but in lousy shape either way., Not sure if I have the flu or food poisoning but in lousy shape either way,I,have,poisoning, ,0.15
10,My puke muscles are all sore after Thursday's food poisoning.,My puke muscles are all sore after Thursday's food poisoning,muscles,sore, ,poisoning,0.0
11,Why would I ever order from anywhere other than Taqueria El Ranchito? I've only gotten food poisoning from there once :),Why would I ever order from anywhere other than Taqueria El Ranchito? I've only gotten food poisoning from there once :),I,order, , ,0.0
11,Why would I ever order from anywhere other than Taqueria El Ranchito? I've only gotten food poisoning from there once :),Why would I ever order from anywhere other than Taqueria El Ranchito? I've only gotten food poisoning from there once :),I,gotten,poisoning, ,0.1
12,Sneak Peek! â¢ Monday night food poisoning attacked my body and I slept most of the night on theâ¦ https://t.co/vnreD2JuYW,Sneak Peek!  Monday night food poisoning attacked my body and I slept most of the night on the https://t,poisoning,attacked,body, ,0.8
12,Sneak Peek! â¢ Monday night food poisoning attacked my body and I slept most of the night on theâ¦ https://t.co/vnreD2JuYW,Sneak Peek!  Monday night food poisoning attacked my body and I slept most of the night on the https://t,I,slept,most, ,0.0
13,I think I got food poisoning í ½í¸·í ½í¸·,I think I got food poisoning ,I,think, , ,100.0
13,I think I got food poisoning í ½í¸·í ½í¸·,I think I got food poisoning ,I,got,poisoning, ,0.9
14,So this is either food poisoning or the flu.  Either way it seems appropriate for my birthday.,So this is either food poisoning or the flu,this,poisoning, , ,0.0
14,So this is either food poisoning or the flu.  Either way it seems appropriate for my birthday.,  Either way it seems appropriate for my birthday,it,seems, , ,0.0
15,I think Amina got food poisoning wtf,I think Amina got food poisoning wtf,I,think, , ,100.0
15,I think Amina got food poisoning wtf,I think Amina got food poisoning wtf,Amina,got,wtf, ,0.0
16,80% sure I have food poisoning and it is terrible.,80% sure i have food poisoning ,%,have,poisoning, ,0.0
17,@OriginalFandoms Well I found out I have gotten food poisoning. Yay me í ½í¸�?í ½í¸�? but I should be going back to school tomorrow.,@OriginalFandoms Well I found out I have gotten food poisoning,I,found, , ,0.0
17,@OriginalFandoms Well I found out I have gotten food poisoning. Yay me í ½í¸�?í ½í¸�? but I should be going back to school tomorrow.,@OriginalFandoms Well I found out I have gotten food poisoning,I,gotten,poisoning, ,0.9
17,@OriginalFandoms Well I found out I have gotten food poisoning. Yay me í ½í¸�?í ½í¸�? but I should be going back to school tomorrow., Yay me  but I should be going back to school tomorrow, ,Yay,me, ,0.0
17,@OriginalFandoms Well I found out I have gotten food poisoning. Yay me í ½í¸�?í ½í¸�? but I should be going back to school tomorrow., Yay me  but I should be going back to school tomorrow,I,going, , ,0.0
18,Let me find out I have food poisoning and IMA be mad asl.,let me find out i have food poisoning ,me,find,i, ,0.0
18,Let me find out I have food poisoning and IMA be mad asl.,let me find out i have food poisoning , ,have,poisoning, ,0.6
19,Nothing like having food poisoning come on mid show #monslyfe #barflyfe night 1 of growlers @ Lincolnâ¦ https://t.co/VGmjdZCZwP,Nothing like having food poisoning come on mid show #monslyfe #barflyfe night 1 of growlers @ Lincoln https://t,Nothing,#barflyfe, , ,0.0
19,Nothing like having food poisoning come on mid show #monslyfe #barflyfe night 1 of growlers @ Lincolnâ¦ https://t.co/VGmjdZCZwP,Nothing like having food poisoning come on mid show #monslyfe #barflyfe night 1 of growlers @ Lincoln https://t, ,come,poisoning, ,0.0
19,Nothing like having food poisoning come on mid show #monslyfe #barflyfe night 1 of growlers @ Lincolnâ¦ https://t.co/VGmjdZCZwP,Nothing like having food poisoning come on mid show #monslyfe #barflyfe night 1 of growlers @ Lincoln https://t, ,#barflyfe,night, ,0.0
